[2025-09-23 18:11:15,387] 24 root - INFO - Initiate the data ingestion]
[2025-09-23 18:11:22,729] 61 root - INFO - Performed train test split on dataframe]
[2025-09-23 18:11:22,729] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-23 18:11:22,729] 65 root - INFO - Exporting train and test file path]
[2025-09-23 18:11:22,752] 68 root - INFO - Exported train and test file path]
[2025-09-23 18:11:22,752] 27 root - INFO - Data Inititation Completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/09_23_2025_18_11_05/data_ingestion/ingested/train.csv', test_file_path='Artifacts/09_23_2025_18_11_05/data_ingestion/ingested/test.csv')]
[2025-09-23 18:11:22,754] 36 root - INFO - Initiate the data Validation]
[2025-09-23 18:11:22,760] 31 root - INFO - Required number of columns:2]
[2025-09-23 18:11:22,760] 32 root - INFO - Data frame has columns:31]
[2025-09-23 18:11:22,760] 31 root - INFO - Required number of columns:2]
[2025-09-23 18:11:22,760] 32 root - INFO - Data frame has columns:31]
[2025-09-23 18:11:22,823] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class]
[2025-09-23 18:11:22,823] 55 root - INFO - Starting data transformation]
[2025-09-23 18:11:22,830] 43 root - INFO - Entered get_transformer_object method DataTransformation class]
[2025-09-23 18:11:22,830] 46 root - INFO - Initialised KNN imputer]
[2025-09-23 18:11:22,833] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-23 18:11:22,834] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-23 18:11:22,834] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-23 18:11:22,834] 43 root - INFO - Exited the save_object method of MainUtils class]
