[2025-09-24 00:24:21,652] 24 root - INFO - Initiate the data ingestion]
[2025-09-24 00:24:29,034] 61 root - INFO - Performed train test split on dataframe]
[2025-09-24 00:24:29,034] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-24 00:24:29,034] 65 root - INFO - Exporting train and test file path]
[2025-09-24 00:24:29,056] 68 root - INFO - Exported train and test file path]
[2025-09-24 00:24:29,056] 27 root - INFO - Data Inititation Completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/09_24_2025_00_24_10/data_ingestion/ingested/train.csv', test_file_path='Artifacts/09_24_2025_00_24_10/data_ingestion/ingested/test.csv')]
[2025-09-24 00:24:29,058] 36 root - INFO - Initiate the data Validation]
[2025-09-24 00:24:29,064] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:24:29,064] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:24:29,064] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:24:29,064] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:24:29,113] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class]
[2025-09-24 00:24:29,113] 55 root - INFO - Starting data transformation]
[2025-09-24 00:24:29,120] 43 root - INFO - Entered get_transformer_object method DataTransformation class]
[2025-09-24 00:24:29,120] 46 root - INFO - Initialised KNN imputer]
[2025-09-24 00:24:29,122] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:24:29,123] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:24:29,123] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:24:29,124] 43 root - INFO - Exited the save_object method of MainUtils class]
