[2025-09-23 18:21:05,420] 24 root - INFO - Initiate the data ingestion]
[2025-09-23 18:21:12,165] 61 root - INFO - Performed train test split on dataframe]
[2025-09-23 18:21:12,166] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-23 18:21:12,166] 65 root - INFO - Exporting train and test file path]
[2025-09-23 18:21:12,189] 68 root - INFO - Exported train and test file path]
[2025-09-23 18:21:12,189] 27 root - INFO - Data Inititation Completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/09_23_2025_18_20_54/data_ingestion/ingested/train.csv', test_file_path='Artifacts/09_23_2025_18_20_54/data_ingestion/ingested/test.csv')]
[2025-09-23 18:21:12,191] 36 root - INFO - Initiate the data Validation]
[2025-09-23 18:21:12,198] 31 root - INFO - Required number of columns:2]
[2025-09-23 18:21:12,199] 32 root - INFO - Data frame has columns:31]
[2025-09-23 18:21:12,199] 31 root - INFO - Required number of columns:2]
[2025-09-23 18:21:12,199] 32 root - INFO - Data frame has columns:31]
[2025-09-23 18:21:12,259] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class]
[2025-09-23 18:21:12,259] 55 root - INFO - Starting data transformation]
[2025-09-23 18:21:12,266] 43 root - INFO - Entered get_transformer_object method DataTransformation class]
[2025-09-23 18:21:12,266] 46 root - INFO - Initialised KNN imputer]
[2025-09-23 18:21:12,269] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-23 18:21:12,269] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-23 18:21:12,269] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-23 18:21:12,270] 43 root - INFO - Exited the save_object method of MainUtils class]
