[2025-09-24 00:51:00,101] 24 root - INFO - Initiate the data ingestion]
[2025-09-24 00:51:08,765] 61 root - INFO - Performed train test split on dataframe]
[2025-09-24 00:51:08,765] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-24 00:51:08,765] 65 root - INFO - Exporting train and test file path]
[2025-09-24 00:51:08,785] 68 root - INFO - Exported train and test file path]
[2025-09-24 00:51:08,785] 27 root - INFO - Data Inititation Completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/09_24_2025_00_50_47/data_ingestion/ingested/train.csv', test_file_path='Artifacts/09_24_2025_00_50_47/data_ingestion/ingested/test.csv')]
[2025-09-24 00:51:08,787] 36 root - INFO - Initiate the data Validation]
[2025-09-24 00:51:08,793] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:51:08,793] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:51:08,793] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:51:08,793] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:51:08,850] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class]
[2025-09-24 00:51:08,850] 55 root - INFO - Starting data transformation]
[2025-09-24 00:51:08,856] 43 root - INFO - Entered get_transformer_object method DataTransformation class]
[2025-09-24 00:51:08,856] 46 root - INFO - Initialised KNN imputer]
[2025-09-24 00:51:08,859] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:51:08,860] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:51:08,860] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:51:08,861] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:52:54,352] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:52:54,384] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:52:54,384] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:52:54,396] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:52:54,396] 132 root - INFO - Model Trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/09_24_2025_00_50_47/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914841849148418, precision_score=0.9888776541961577, recall_score=0.994104492783086), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9747089522280209, precision_score=0.9688747007182761, recall_score=0.9806138933764136))]
