[2025-09-24 00:31:22,745] 24 root - INFO - Initiate the data ingestion]
[2025-09-24 00:31:31,053] 61 root - INFO - Performed train test split on dataframe]
[2025-09-24 00:31:31,054] 62 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2025-09-24 00:31:31,054] 65 root - INFO - Exporting train and test file path]
[2025-09-24 00:31:31,079] 68 root - INFO - Exported train and test file path]
[2025-09-24 00:31:31,079] 27 root - INFO - Data Inititation Completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/09_24_2025_00_30_11/data_ingestion/ingested/train.csv', test_file_path='Artifacts/09_24_2025_00_30_11/data_ingestion/ingested/test.csv')]
[2025-09-24 00:31:31,081] 36 root - INFO - Initiate the data Validation]
[2025-09-24 00:31:31,090] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:31:31,090] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:31:31,090] 31 root - INFO - Required number of columns:2]
[2025-09-24 00:31:31,090] 32 root - INFO - Data frame has columns:31]
[2025-09-24 00:31:31,154] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class]
[2025-09-24 00:31:31,154] 55 root - INFO - Starting data transformation]
[2025-09-24 00:31:31,161] 43 root - INFO - Entered get_transformer_object method DataTransformation class]
[2025-09-24 00:31:31,161] 46 root - INFO - Initialised KNN imputer]
[2025-09-24 00:31:31,166] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:31:31,167] 43 root - INFO - Exited the save_object method of MainUtils class]
[2025-09-24 00:31:31,167] 39 root - INFO - Entered the save_object method of MainUtils class]
[2025-09-24 00:31:31,168] 43 root - INFO - Exited the save_object method of MainUtils class]
